trade_date,ts_code,name,pred_open_d1,pred_return,ret_delta
20250507,605188.SH,国光连锁,10.76667594909668,9.659094370466615,-3.5340605482543364
20250507,002491.SZ,通鼎互联,4.967103481292725,8.538455808693568,-7.854689470669518
20250507,603800.SH,洪田股份,23.392528533935547,5.9025360407509275,-3.8592705159882446
20250507,600794.SH,保税科技,4.113270282745361,5.762064021869295,1.8417003961085143
20250507,603980.SH,吉华集团,4.760093688964844,5.000234905042156,-2.324365942101725
20250508,002355.SZ,兴民智通,7.2128376960754395,7.953860567140714,-2.5208953363317743
20250508,002365.SZ,永安药业,11.868699073791504,6.451184917782338,1.3372508322055054
20250508,002098.SZ,浔兴股份,9.222018241882324,5.63379731671565,-1.1903364082862744
20250508,603839.SH,安正时尚,6.075584411621094,5.13753455302437,-1.6083088017962321
20250508,002440.SZ,闰土股份,7.515835285186768,5.054331015780633,3.8226414011769183
20250509,600644.SH,乐山电力,11.545578956604004,11.587128643378431,-4.38807270479078
20250509,600505.SH,西昌电力,15.831488609313965,10.224375668061692,0.08762761362657301
20250509,002427.SZ,尤夫股份,7.055290222167969,9.705211118210189,-4.901483169821796
20250509,002365.SZ,永安药业,11.572793960571289,9.013071294757058,-1.4412011707910954
20250509,603350.SH,安乃达,38.49139404296875,7.786500992313505,-4.718847120961844
20250512,600610.SH,中毅达,12.17912483215332,11.360566036121256,-8.633667713886982
20250512,603086.SH,先达股份,9.435423851013184,7.0819103971440756,-3.8970744356195963
20250512,002365.SZ,永安药业,10.494390487670898,6.469171435961063,3.103906528551992
20250512,603696.SH,安记食品,12.237027168273926,6.021502427302128,-4.814111264960563
20250512,600505.SH,西昌电力,15.33758544921875,5.5554123522407295,-2.1861698546546515
20250513,002165.SZ,红宝丽,10.84579086303711,8.407705915444218,5.389216082925019
20250513,603331.SH,百达精工,10.498062133789062,7.1295316160959965,-4.337139340668306
20250513,002229.SZ,鸿博股份,16.039730072021484,6.978077965685325,-4.2390358106582315
20250513,002194.SZ,武汉凡谷,15.410177230834961,5.8185712088750785,-2.690453611954613
20250513,002809.SZ,红墙股份,14.71647834777832,5.246125274758917,-3.366717961755117
20250514,002165.SZ,红宝丽,11.406095504760742,10.071865676498737,-1.5889170249919315
20250514,603011.SH,合锻智能,11.830300331115723,6.689356956161374,-0.7112664334914198
20250514,603335.SH,迪生力,4.823579788208008,6.134161574572272,0.8267602343468239
20250514,002915.SZ,中欣氟材,22.541358947753906,5.061696923297387,-1.8469908963079096
20250514,002640.SZ,跨境通,4.795732498168945,4.730512784874974,-2.8468546660050276
20250515,002165.SZ,红宝丽,12.05123519897461,9.610697345547269,-0.22619189967549858
20250515,002338.SZ,奥普光电,46.715850830078125,6.8584697227336955,-4.168200565563329
20250515,603331.SH,百达精工,11.331820487976074,6.473946214875537,0.5026877398226715
20250515,002560.SZ,通达股份,7.426568984985352,5.980550560271847,0.7919534862279587
20250515,603920.SH,世运电路,27.63743019104004,5.027877802054381,-1.795177328469233
